context_switches,cpu_usage,execution_time_us,hw_branch_instructions,hw_branch_misses,hw_cache_misses,hw_cache_references,hw_cpu_cycles,hw_instructions,hw_telemetry_available,max_rss_kb,sw_context_switches,sw_cpu_migrations,sw_page_faults,synthetic_branch_proxy,synthetic_cache_proxy,is_anomaly
0.0,13.0,12.167,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17563648.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,16.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17563648.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.083,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,22.0,21.666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,61.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,60.0,58.583,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,61.0,58.917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,61.0,59.083,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,61.0,59.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,14.666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.833,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,16.0,15.042,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.791,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.916,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,12.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,61.0,58.958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,65.0,63.166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17580032.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,12.959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17596416.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.042,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17596416.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.041,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17612800.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17612800.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,12.917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17629184.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17629184.0,-1.0,-1.0,-1.0,0.0,0.0,0
