Algorithm,Model,Seq_Len,Test_Type,TP,TN,FP,FN,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,FPR,Latency_Mean_ms,Latency_Median_ms,Latency_95th_ms
ML-KEM-1024,GRU,5,Standard,6,800,3,87,0.6666666666666666,0.06451612903225806,0.1176470588235294,0.7489120100697652,0.3231232788714663,0.18589934997172572,0.530390069497449,0.0037359900373599006,1.1591004903311841,1.147479000792373,1.2218357507663313
ML-KEM-1024,GRU,5,Mixed_Unseen,13,898,2,83,0.8666666666666667,0.13541666666666666,0.2342342342342342,0.8313310185185185,0.5086282947779703,0.3227474716499733,0.5665972222222222,0.0022222222222222222,1.1591004903311841,1.147479000792373,1.2218357507663313
ML-KEM-1024,LSTM,5,Standard,0,803,0,93,0.0,0.0,0.0,0.7392439641666332,0.3081335310297929,0.0,0.5,0.0,0.8345066997571848,0.8268745077657513,0.872581248404458
ML-KEM-1024,LSTM,5,Mixed_Unseen,0,900,0,96,0.0,0.0,0.0,0.826099537037037,0.5027973296325543,0.0,0.5,0.0,0.8345066997571848,0.8268745077657513,0.872581248404458
ML-KEM-1024,HMM,5,Standard,47,487,316,46,0.12947658402203857,0.5053763440860215,0.206140350877193,0.5632373224065668,0.12776213582822699,0.06949064095414784,0.5559260300753893,0.39352428393524286,0.11346541112288833,0.11177050328115001,0.12123160267947242
ML-KEM-1024,HMM,5,Mixed_Unseen,44,554,346,52,0.11282051282051282,0.4583333333333333,0.18106995884773663,0.5687731481481482,0.12966006569225702,0.044675291151216864,0.5369444444444444,0.3844444444444444,0.11346541112288833,0.11177050328115001,0.12123160267947242
ML-KEM-1024,GRU,10,Standard,6,794,4,87,0.6,0.06451612903225806,0.11650485436893201,0.7508623709812166,0.32457425389865074,0.17270232749700165,0.5297517988519687,0.005012531328320802,1.7986024907440878,1.815896001062356,1.9348042013007216
ML-KEM-1024,GRU,10,Mixed_Unseen,22,889,7,73,0.7586206896551724,0.23157894736842105,0.3548387096774193,0.8374295112781955,0.5194706478178029,0.39086271046908483,0.6118832236842106,0.0078125,1.7986024907440878,1.815896001062356,1.9348042013007216
ML-KEM-1024,LSTM,10,Standard,0,798,0,93,0.0,0.0,0.0,0.7405610801196539,0.3044834184783301,0.0,0.5,0.0,0.8297754195518792,0.8183960017049685,0.9087339502002578
ML-KEM-1024,LSTM,10,Mixed_Unseen,0,896,0,95,0.0,0.0,0.0,0.825093984962406,0.4803406147942389,0.0,0.5,0.0,0.8297754195518792,0.8183960017049685,0.9087339502002578
