algo,seed,w_time,w_mse,w_var,margin,alpha,precision,recall,fpr
ML-KEM-512,123,0.6,0.2,0.2,2.0,0.01,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,2.0,0.05,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,2.0,0.1,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,2.0,0.2,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,3.0,0.01,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,3.0,0.05,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,3.0,0.1,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,3.0,0.2,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,5.0,0.01,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,5.0,0.05,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,5.0,0.1,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,5.0,0.2,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.0,0.01,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.0,0.05,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.0,0.1,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.0,0.2,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.25,0.01,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.25,0.05,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.25,0.1,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.25,0.2,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.5,0.01,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.5,0.05,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.5,0.1,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,1.5,0.2,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,2.0,0.01,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,2.0,0.05,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,2.0,0.1,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,2.0,0.2,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,3.0,0.01,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,3.0,0.05,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,3.0,0.1,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,3.0,0.2,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,5.0,0.01,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,5.0,0.05,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,5.0,0.1,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.6,0.2,5.0,0.2,0.9833333333333333,0.33714285714285713,0.0024449877750611247
ML-KEM-512,123,0.2,0.2,0.6,1.0,0.01,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.0,0.05,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.0,0.1,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.0,0.2,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.25,0.01,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.25,0.05,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.25,0.1,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.25,0.2,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.5,0.01,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.5,0.05,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.5,0.1,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,1.5,0.2,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,2.0,0.01,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,2.0,0.05,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,2.0,0.1,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,2.0,0.2,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,3.0,0.01,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,3.0,0.05,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,3.0,0.1,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,3.0,0.2,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,5.0,0.01,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,5.0,0.05,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,5.0,0.1,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.2,0.2,0.6,5.0,0.2,1.0,0.17142857142857143,0.0
ML-KEM-512,123,0.8,0.1,0.1,1.0,0.01,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.0,0.05,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.0,0.1,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.0,0.2,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.25,0.01,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.25,0.05,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.25,0.1,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.25,0.2,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.5,0.01,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.5,0.05,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.5,0.1,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,1.5,0.2,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,2.0,0.01,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,2.0,0.05,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,2.0,0.1,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,2.0,0.2,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,3.0,0.01,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,3.0,0.05,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,3.0,0.1,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,3.0,0.2,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,5.0,0.01,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,5.0,0.05,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,5.0,0.1,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,123,0.8,0.1,0.1,5.0,0.2,0.9743589743589743,0.21714285714285714,0.0024449877750611247
ML-KEM-512,1001,0.33,0.33,0.33,1.0,0.01,0.37445887445887444,0.9885714285714285,0.706601466992665
ML-KEM-512,1001,0.33,0.33,0.33,1.0,0.05,0.354251012145749,1.0,0.7799511002444988
ML-KEM-512,1001,0.33,0.33,0.33,1.0,0.1,0.34860557768924305,1.0,0.7995110024449877
ML-KEM-512,1001,0.33,0.33,0.33,1.0,0.2,0.34860557768924305,1.0,0.7995110024449877
ML-KEM-512,1001,0.33,0.33,0.33,1.25,0.01,0.547945205479452,0.22857142857142856,0.08068459657701711
ML-KEM-512,1001,0.33,0.33,0.33,1.25,0.05,0.5263157894736842,0.22857142857142856,0.08801955990220049
ML-KEM-512,1001,0.33,0.33,0.33,1.25,0.1,0.5263157894736842,0.22857142857142856,0.08801955990220049
ML-KEM-512,1001,0.33,0.33,0.33,1.25,0.2,0.5263157894736842,0.22857142857142856,0.08801955990220049
