algo,seed,wilcoxon_p,effect_size,base_precision,base_recall,base_f1,base_accuracy,base_roc_auc,base_pr_auc,base_mcc,base_balanced_accuracy,base_fpr,base_tpr,base_mean_latency_ms,adapt_precision,adapt_recall,adapt_f1,adapt_accuracy,adapt_roc_auc,adapt_pr_auc,adapt_mcc,adapt_balanced_accuracy,adapt_fpr,adapt_tpr,adapt_mean_latency_ms
ML-KEM-768,2026,2.378067168998594e-09,0.4242424242424242,0.7478632478632479,1.0,0.8557457212713936,0.898972602739726,0.995445337059029,0.9910785887214624,0.7999879839441979,0.9278728606356967,0.14425427872860636,1.0,0.05468889458538735,0.9444444444444444,0.19428571428571428,0.3222748815165877,0.7551369863013698,0.8920852252881593,0.7802489645265368,0.36075250230411193,0.594697869367796,0.004889975550122249,0.19428571428571428,0.44337894818554185
ML-KEM-1024,42,2.821341068638412e-08,0.45333333333333337,0.8101851851851852,1.0,0.8951406649616368,0.9297945205479452,0.9999301432064268,0.9998412698412699,0.8537965667413611,0.949877750611247,0.10024449877750612,1.0,0.05398996888774715,0.9714285714285714,0.38857142857142857,0.5551020408163265,0.8133561643835616,0.9059727558505065,0.8008256703140326,0.5411540399093948,0.6918407265106532,0.004889975550122249,0.38857142857142857,0.43792022417669424
ML-KEM-1024,123,0.010619544015483524,0.1673819742489271,0.6386861313868614,1.0,0.779510022271715,0.8304794520547946,0.9992176039119804,0.9984234816192309,0.6957655731897112,0.8789731051344744,0.24205378973105135,1.0,0.05401283094327744,0.9512195121951219,0.22285714285714286,0.3611111111111111,0.7636986301369864,0.8988194201886134,0.7799044847360082,0.39082282114251904,0.6089835836535102,0.004889975550122249,0.22285714285714286,0.4406301942590165
ML-KEM-1024,1001,2.8554736995133832e-15,0.6363636363636364,0.8613861386138614,0.9942857142857143,0.9230769230769231,0.9503424657534246,0.999161718477122,0.9983467889071338,0.8916670362240693,0.9629130282920014,0.06845965770171149,0.9942857142857143,0.053958533561393004,0.9615384615384616,0.2857142857142857,0.44052863436123346,0.7825342465753424,0.895354523227384,0.7820214836043016,0.4517081132481068,0.6404121550820817,0.004889975550122249,0.2857142857142857,0.4356842334956339
ML-KEM-1024,2024,8.235705275029557e-06,0.38235294117647056,0.8037383177570093,0.9828571428571429,0.884318766066838,0.922945205479452,0.9974991267900803,0.9952170576691316,0.8368321079594111,0.9400838281522879,0.10268948655256724,0.9828571428571429,0.05450518163916183,0.975609756097561,0.45714285714285713,0.622568093385214,0.833904109589041,0.8979671673070205,0.8031716085849733,0.5963527637407436,0.7261264407963675,0.004889975550122249,0.45714285714285713,0.4430935807424049
ML-KEM-1024,8888,0.4672869350705501,0.048034934497816595,0.6055363321799307,1.0,0.7543103448275862,0.8047945205479452,0.9977785539643731,0.9959329878419607,0.6608752032062548,0.8606356968215159,0.2787286063569682,1.0,0.05382585198911902,0.9166666666666666,0.3142857142857143,0.46808510638297873,0.785958904109589,0.8925462801257422,0.7563770614372106,0.45575741436621575,0.6510303877052044,0.012224938875305624,0.3142857142857143,0.43742379097089373
ML-KEM-1024,777,0.014210059635209887,0.1541501976284585,0.603448275862069,1.0,0.7526881720430108,0.803082191780822,0.9559902200488998,0.7631290281478136,0.6586156354545151,0.8594132029339854,0.28117359413202936,1.0,0.05388668138686925,0.7837837837837838,0.1657142857142857,0.27358490566037735,0.7363013698630136,0.7948864827104436,0.5602669437623453,0.27485142853740313,0.5730771917568984,0.019559902200488997,0.1657142857142857,0.43692694951410166
ML-KEM-1024,999,1.3633045806052895e-13,0.5368421052631579,0.7954545454545454,1.0,0.8860759493670886,0.922945205479452,0.9984212364652463,0.9968742872683853,0.8413887904459821,0.9449877750611246,0.1100244498777506,1.0,0.053967923334200085,0.9666666666666667,0.1657142857142857,0.28292682926829266,0.7482876712328768,0.8530911631156131,0.7103231369353283,0.3388205116171773,0.5816346489696123,0.0024449877750611247,0.1657142857142857,0.43783285846448927
ML-KEM-1024,1111,2.4285346737019137e-08,0.4509803921568627,0.8055555555555556,0.9942857142857143,0.8900255754475703,0.9263698630136986,0.999161718477122,0.9984013556239797,0.8460540637137687,0.9457981138665735,0.10268948655256724,0.9942857142857143,0.05456437803294561,0.9701492537313433,0.37142857142857144,0.5371900826446281,0.8082191780821918,0.9224030736989173,0.8381210662049974,0.5268872839250581,0.6832692979392245,0.004889975550122249,0.37142857142857144,0.4426567521813798
ML-KEM-1024,2222,4.658418529041882e-10,0.4461538461538461,0.7575757575757576,1.0,0.8620689655172413,0.9041095890410958,0.9991477471184073,0.9981718755135094,0.8086093021244903,0.9315403422982885,0.13691931540342298,1.0,0.05413367323679467,0.9444444444444444,0.19428571428571428,0.3222748815165877,0.7551369863013698,0.883059727558505,0.74149841676105,0.36075250230411193,0.594697869367796,0.004889975550122249,0.19428571428571428,0.4399394335812085
