algo,seed,y_true,pipeline_a_score,pipeline_a_pred,pipeline_b_score,pipeline_b_pred
ML-KEM-512,42,1,5.662583e+14,1,0.41769958807838364,0
ML-KEM-512,42,1,5.6627016e+14,1,0.5990825028809764,0
ML-KEM-512,42,1,5.662833e+14,1,0.48126404524451627,0
ML-KEM-512,42,1,5.6631036e+14,1,0.43202046618788026,0
ML-KEM-512,42,1,5.663361e+14,1,0.5523351892710964,0
ML-KEM-512,42,1,5.663628e+14,1,0.5943911002370679,0
ML-KEM-512,42,1,5.6638774e+14,1,0.8183489884252514,1
ML-KEM-512,42,1,5.664136e+14,1,0.6148336338491722,0
ML-KEM-512,42,1,5.664398e+14,1,0.4499835382588361,0
ML-KEM-512,42,1,5.664803e+14,1,0.6528755478798454,0
ML-KEM-512,42,1,5.6651974e+14,1,0.5308634577279336,0
ML-KEM-512,42,1,5.665587e+14,1,0.479074393312078,0
ML-KEM-512,42,1,5.665963e+14,1,0.570174845465689,1
ML-KEM-512,42,1,5.666358e+14,1,0.6659032938222859,1
ML-KEM-512,42,1,5.6666315e+14,1,0.7040450465667967,1
ML-KEM-512,42,1,5.6668926e+14,1,0.7012362294805942,1
ML-KEM-512,42,1,5.667152e+14,1,0.6030225114520339,1
ML-KEM-512,42,1,5.667408e+14,1,0.6945807482316717,1
ML-KEM-512,42,1,5.6676664e+14,1,0.5379890842916935,1
ML-KEM-512,42,1,5.667795e+14,1,0.7068068653388518,1
ML-KEM-512,42,1,5.667938e+14,1,0.48941487521650817,0
ML-KEM-512,42,1,5.6680704e+14,1,0.604767369870138,0
ML-KEM-512,42,1,5.668198e+14,1,0.48971445896418486,0
ML-KEM-512,42,1,5.6683254e+14,1,0.588188681099903,0
ML-KEM-512,42,1,5.668456e+14,1,0.7231148660014914,0
ML-KEM-512,42,0,5.668457e+14,1,0.5189978511723735,0
ML-KEM-512,42,0,5.668457e+14,1,0.4123876854659359,0
ML-KEM-512,42,0,5.668457e+14,1,0.5302284760509046,1
ML-KEM-512,42,0,5.668457e+14,1,0.448114085355685,0
ML-KEM-512,42,0,5.668457e+14,1,0.42377643435013695,0
ML-KEM-512,42,0,5.66859e+14,1,0.4620479807139675,0
ML-KEM-512,42,0,5.66872e+14,1,0.5186805160435893,0
ML-KEM-512,42,0,5.6688535e+14,1,0.59607697947954,0
ML-KEM-512,42,0,5.668974e+14,1,0.45252615361226006,0
ML-KEM-512,42,0,5.669109e+14,1,0.5338980570317546,0
ML-KEM-512,42,0,5.6692394e+14,1,0.4717861447721968,0
ML-KEM-512,42,0,5.66937e+14,1,0.5954299600514629,0
ML-KEM-512,42,0,5.669501e+14,1,0.4448376277149333,0
ML-KEM-512,42,0,5.66963e+14,1,0.43557720911841713,0
ML-KEM-512,42,0,5.6697575e+14,1,0.5312046103093511,0
ML-KEM-512,42,0,5.669886e+14,1,0.44847765133707307,0
ML-KEM-512,42,0,5.67003e+14,1,0.4516986474276821,0
ML-KEM-512,42,0,5.670161e+14,1,0.5475113196406873,0
ML-KEM-512,42,0,5.670289e+14,1,0.6680671455058315,0
ML-KEM-512,42,0,5.670417e+14,1,0.46664251179105176,0
ML-KEM-512,42,0,5.670548e+14,1,0.42438922225249215,0
ML-KEM-512,42,0,5.670548e+14,1,0.49976766646510495,0
ML-KEM-512,42,0,5.670548e+14,1,0.41378166840402864,0
ML-KEM-512,42,0,5.670548e+14,1,0.4483247356209018,0
ML-KEM-512,42,0,5.670681e+14,1,0.4588866751166414,0
ML-KEM-512,42,0,5.670812e+14,1,0.519562964469639,1
ML-KEM-512,42,0,5.6709446e+14,1,0.5716670672865938,0
ML-KEM-512,42,0,5.6710654e+14,1,0.5660123690844814,0
ML-KEM-512,42,0,5.6711996e+14,1,0.5798014472695421,0
ML-KEM-512,42,0,5.6713305e+14,1,0.4917500795516231,0
ML-KEM-512,42,0,5.6714614e+14,1,0.4302424149307468,0
ML-KEM-512,42,0,5.671593e+14,1,0.456331502059386,0
ML-KEM-512,42,0,5.671721e+14,1,0.5239228637608745,0
ML-KEM-512,42,0,5.6718486e+14,1,0.5450537683161952,0
ML-KEM-512,42,0,5.671978e+14,1,0.49890810788279905,0
ML-KEM-512,42,0,5.672121e+14,1,0.5074640825272838,0
ML-KEM-512,42,0,5.672252e+14,1,0.6018981926057225,0
ML-KEM-512,42,0,5.672381e+14,1,0.5309560887429601,0
ML-KEM-512,42,0,5.672509e+14,1,0.47336466890912376,0
ML-KEM-512,42,0,5.67264e+14,1,0.46961436568510934,0
ML-KEM-512,42,0,5.672639e+14,1,0.5452007368089,1
ML-KEM-512,42,0,5.672639e+14,1,0.6439128830910961,0
ML-KEM-512,42,0,5.672639e+14,1,0.4876620557429885,0
ML-KEM-512,42,0,5.672639e+14,1,0.42066625309401123,0
ML-KEM-512,42,0,5.672639e+14,1,0.5046515786148582,0
ML-KEM-512,42,0,5.672639e+14,1,0.5012986747854173,0
ML-KEM-512,42,0,5.672639e+14,1,0.4770931939491721,0
ML-KEM-512,42,0,5.672639e+14,1,0.5284400103098635,0
ML-KEM-512,42,0,5.672639e+14,1,0.4349412342050402,0
ML-KEM-512,42,0,5.672639e+14,1,0.47480369203469175,0
ML-KEM-512,42,0,5.672639e+14,1,0.3949164110922399,0
ML-KEM-512,42,0,5.672639e+14,1,0.3961306754222848,0
ML-KEM-512,42,0,5.672639e+14,1,0.406009021749455,0
ML-KEM-512,42,0,5.672639e+14,1,0.4608218891106998,0
ML-KEM-512,42,0,5.672639e+14,1,0.5283953549455676,1
ML-KEM-512,42,0,5.672639e+14,1,0.44322325660617934,0
ML-KEM-512,42,0,5.672639e+14,1,0.4256411119420324,0
ML-KEM-512,42,0,5.672772e+14,1,0.4285643229891841,0
ML-KEM-512,42,0,5.6729035e+14,1,0.451777012824214,0
ML-KEM-512,42,0,5.6730364e+14,1,0.5439202079434912,0
ML-KEM-512,42,0,5.673157e+14,1,0.5112000665925273,0
